,batt.p,batt.e,batt.de,batt.dp,batt.pd,batt.pc,batt.u,batt.abs_p,mg.p,mg.pout,mg.pin,mg.u,ps.scale_fact,ps.p_scaled,arc3_expanded.f,arc1_expanded.f,arc2_expanded.f,int,batt.soc,batt.inst_cost,mg.instant_cost,inst_obj
2018-04-01 18:45:00+02:00,1.0596071428571427,4.2288214285714245,-0.0002943353174603174,-1.3010426069826053e-18,1.0596071428571427,0.0,1.0,0.0,1.7084928571428573,1.7084928571428573,0.0,1.0,10,0.1969,0.1969,1.7084928571428573,1.0596071428571427,15.366518933245455,20.137244897959164,0.0,6.30718613095238e-05,6.30718613095238e-05
2018-04-01 19:00:00+02:00,1.0596071428571427,3.963919642857139,-0.0002943353174603174,0.0,1.0596071428571427,0.0,1.0,0.0,1.692792857142857,1.692792857142857,0.0,1.0,10,0.1276,0.1276,1.692792857142857,1.0596071428571427,15.366518933245455,18.875807823129232,0.0,6.249226964285714e-05,6.249226964285714e-05
2018-04-01 19:15:00+02:00,1.0596071428571427,3.6990178571428536,-0.0002943353174603174,0.0,1.0596071428571427,0.0,1.0,0.0,1.7211928571428574,1.7211928571428574,0.0,1.0,10,0.09419999999999999,0.09419999999999999,1.7211928571428574,1.0596071428571427,15.366518933245455,17.614370748299304,0.0,6.354070297619049e-05,6.354070297619049e-05
2018-04-01 19:30:00+02:00,1.0596071428571427,3.4341160714285675,-0.0002943353174603174,0.0,1.0596071428571427,0.0,1.0,0.0,1.7496928571428572,1.7496928571428572,0.0,1.0,10,0.0607,0.0607,1.7496928571428572,1.0596071428571427,15.366518933245455,16.352933673469366,0.0,6.459282797619048e-05,6.459282797619048e-05
2018-04-01 19:45:00+02:00,1.0596071428571425,3.1692142857142818,-0.00029433531746031737,-2.168404344971009e-19,1.0596071428571425,0.0,1.0,0.0,1.8000928571428576,1.8000928571428576,0.0,1.0,10,0.0303,0.0303,1.8000928571428576,1.0596071428571425,15.366518933245455,15.091496598639436,0.0,6.645342797619049e-05,6.645342797619049e-05
2018-04-01 20:00:00+02:00,1.0596071428571425,2.904312499999996,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.8503928571428576,1.8503928571428576,0.0,1.0,10,0.0,0.0,1.8503928571428576,1.0596071428571425,15.366518933245455,13.830059523809506,0.0,6.831033630952382e-05,6.831033630952382e-05
2018-04-01 20:15:00+02:00,1.0596071428571425,2.639410714285711,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.8853928571428573,1.8853928571428573,0.0,1.0,10,0.0,0.0,1.8853928571428573,1.0596071428571425,15.366518933245455,12.568622448979575,0.0,6.960241964285714e-05,6.960241964285714e-05
2018-04-01 20:30:00+02:00,1.0596071428571425,2.374508928571425,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.9203928571428575,1.9203928571428575,0.0,1.0,10,0.0,0.0,1.9203928571428575,1.0596071428571425,15.366518933245455,11.307185374149643,0.0,7.089450297619049e-05,7.089450297619049e-05
2018-04-01 20:45:00+02:00,1.0596071428571425,2.1096071428571395,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.9253928571428574,1.9253928571428574,0.0,1.0,10,0.0,0.0,1.9253928571428574,1.0596071428571425,15.366518933245455,10.045748299319712,0.0,7.107908630952382e-05,7.107908630952382e-05
2018-04-01 21:00:00+02:00,1.0596071428571425,1.844705357142854,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.9303928571428577,1.9303928571428577,0.0,1.0,10,0.0,0.0,1.9303928571428577,1.0596071428571425,15.366518933245455,8.78431122448978,0.0,7.126366964285715e-05,7.126366964285715e-05
